trip_id	driver_id	customer_id	pickup_location	drop_location	distance_km	fare_amount	fare_per_km	payment_method	trip_status	event_timestamp	ride_date	ride_hour	route
b3a3e5d3-ad72-4fd1-83ae-8ad9fd4f3214	1050	2057	Wakad	Hinjewadi	8.57	205.07	23.93	UPI	Completed	2026-08-13 08:36:16	2026-08-13	8	Wakad → Hinjewadi
b6341eb3-30cd-478b-b580-5d37a3bdf3b1	1020	2196	Hinjewadi	Wakad	10.89	209.48	19.24	Wallet	Completed	2026-08-13 08:36:40	2026-08-13	8	Hinjewadi → Wakad
bc1452bc-c62d-4b07-8c03-07787f40bafb	1014	2025	Hadapsar	Kharadi	24.81	501.14	20.20	Card	Completed	2026-08-13 08:36:32	2026-08-13	8	Hadapsar → Kharadi
c00543e7-7a21-4cac-a516-d31e54670464	1018	2121	Hadapsar	Kalyani Nagar	5.79	159.02	27.46	UPI	Cancelled	2026-08-13 08:36:08	2026-08-13	8	Hadapsar → Kalyani Nagar
c27522dc-4de1-4091-bf49-e1956bcd5244	1028	2187	Kalyani Nagar	Hinjewadi	20.13	455.41	22.62	UPI	Completed	2026-08-13 08:36:34	2026-08-13	8	Kalyani Nagar → Hinjewadi
c79a0964-cec7-4c9a-a8dc-aaa2f7058447	1044	2090	Wakad	Koregaon Park	12.70	286.52	22.56	UPI	Completed	2026-08-13 08:36:38	2026-08-13	8	Wakad → Koregaon Park
d02bd67b-702d-448c-bcbb-ad8f8662bc98	1025	2170	Wakad	Shivajinagar	10.56	228.82	21.67	Card	Completed	2026-08-13 08:36:30	2026-08-13	8	Wakad → Shivajinagar
d93c4039-ae8e-4789-866d-f1351f8f1fea	1030	2045	Wakad	Hadapsar	26.66	474.83	17.81	UPI	Cancelled	2026-08-13 08:36:04	2026-08-13	8	Wakad → Hadapsar
da5d31d5-2382-4106-adc1-0c13c2a60874	1006	2076	Koregaon Park	Viman Nagar	23.43	515.45	22.00	Wallet	Cancelled	2026-08-13 08:36:50	2026-08-13	8	Koregaon Park → Viman Nagar
e9f6302a-c1bf-458c-9396-ad7471a70a22	1014	2180	Koregaon Park	Baner	20.10	388.27	19.32	Card	Cancelled	2026-08-13 08:36:48	2026-08-13	8	Koregaon Park → Baner
ea7812f0-a37b-4b03-94ae-2bb4e1f9f0a7	1046	2052	Viman Nagar	Koregaon Park	24.35	469.53	19.28	Cash	Completed	2026-08-13 08:36:24	2026-08-13	8	Viman Nagar → Koregaon Park
fc42fbf6-ee9c-4dd1-b8f3-0f4622e38894	1011	2188	Koregaon Park	Aundh	17.50	374.29	21.39	Cash	Cancelled	2026-08-13 08:36:12	2026-08-13	8	Koregaon Park → Aundh
